# cup INT-group races 2022-2026 (exhibitions excluded, total_laps>0). Pulled from loop_data 2026-09-03.
# race_id|year|track|date|total_laps|cautions#start,finish,laps_led,fastest_laps;...
106|2023|Las Vegas Motor Speedway|2023-10-15|267|7#2,1,133,67;1,2,61,39;6,3,0,3;21,4,38,18;10,5,0,15;12,6,0,13;3,7,1,3;8,8,0,0;4,9,9,23;15,10,23,17;5,11,0,1;9,12,0,1;7,13,0,0;13,14,0,1;36,15,0,0;24,16,0,2;18,17,0,0;16,18,0,0;28,19,0,0;33,20,0,0;22,21,0,0;20,22,0,0;19,23,0,0;27,24,0,2;30,25,0,0;32,26,0,1;29,27,0,0;23,28,0,1;26,29,2,0;34,30,0,1;31,31,0,0;35,32,0,0;17,33,0,0;11,34,0,8;14,35,0,7;25,36,0,0
107|2023|Homestead-Miami Speedway|2023-10-22|267|5#13,1,26,16;10,2,53,22;3,3,1,7;7,4,25,19;25,5,0,2;2,6,9,5;9,7,0,14;36,8,0,3;30,9,0,1;6,10,0,4;22,11,0,3;26,12,0,4;29,13,0,1;19,14,0,1;16,15,0,0;14,16,0,0;21,17,0,4;18,18,0,0;12,19,0,0;20,20,0,0;17,21,0,2;15,22,0,0;27,23,0,0;33,24,0,5;32,25,0,1;34,26,0,0;23,27,0,1;4,28,16,16;1,29,10,6;11,30,31,44;8,31,0,1;24,32,0,6;31,33,0,0;5,34,96,38;35,35,0,0;28,36,0,0
40|2024|Las Vegas Motor Speedway|2024-03-03|267|6#2,1,181,42;18,2,1,39;15,3,0,5;20,4,2,13;8,5,0,13;30,6,0,2;7,7,4,15;28,8,16,7;1,9,2,1;4,10,15,13;16,11,15,6;11,12,0,1;25,13,0,2;22,14,0,0;14,15,0,8;19,16,0,1;13,17,0,1;23,18,3,1;34,19,1,1;26,20,0,2;6,21,1,1;27,22,0,0;36,23,0,0;31,24,0,0;12,25,4,6;21,26,18,14;35,27,0,2;33,28,2,1;3,29,0,0;29,30,0,0;32,31,0,2;17,32,0,7;10,33,0,2;37,34,0,0;5,35,0,5;24,36,0,11;9,37,2,0
46|2024|Texas Motor Speedway|2024-04-14|276|16#24,1,39,8;22,2,0,6;6,3,0,4;4,4,37,42;17,5,0,0;5,6,0,3;10,7,5,4;15,8,0,0;35,9,0,0;16,10,0,0;20,11,14,0;26,12,0,0;2,13,5,18;9,14,0,2;19,15,0,0;36,16,0,0;3,17,1,10;21,18,0,1;27,19,0,3;38,20,0,0;1,21,77,44;23,22,0,0;31,23,0,1;32,24,0,1;8,25,0,0;18,26,0,1;33,27,0,0;29,28,7,2;37,29,0,0;11,30,37,27;28,31,3,0;12,32,33,3;7,33,17,8;30,34,0,0;13,35,0,0;25,36,0,0;14,37,0,1;34,38,1,0
49|2024|Kansas Speedway|2024-05-05|268|7#4,1,63,28;12,2,54,11;9,3,0,10;13,4,0,15;14,5,71,23;1,6,5,3;18,7,0,2;5,8,14,14;3,9,0,2;8,10,0,0;30,11,1,19;26,12,0,0;29,13,0,1;25,14,4,5;17,15,0,1;21,16,0,4;23,17,0,4;35,18,0,1;2,19,43,7;15,20,7,18;10,21,0,0;20,22,0,1;36,23,0,3;22,24,0,1;16,25,0,0;28,26,0,1;27,27,0,0;32,28,0,0;24,29,0,1;33,30,0,1;38,31,6,29;6,32,0,7;34,33,0,0;11,34,0,2;37,35,0,0;31,36,0,0;7,37,0,1;19,38,0,1
50|2024|Darlington Raceway|2024-05-12|293|6#2,1,37,26;4,2,34,26;33,3,0,5;7,4,1,3;13,5,0,3;5,6,2,11;8,7,6,4;18,8,0,0;28,9,0,0;16,10,0,0;9,11,0,3;31,12,0,2;12,13,0,0;36,14,0,1;15,15,0,5;24,16,0,3;26,17,0,2;34,18,0,0;30,19,0,1;25,20,0,0;14,21,0,0;35,22,0,0;20,23,0,0;19,24,0,2;10,25,0,3;21,26,2,3;11,27,0,4;23,28,0,2;32,29,0,0;3,30,21,12;22,31,0,3;1,32,174,75;29,33,0,0;6,34,15,19;27,35,0,1;17,36,1,29
51|2024|Charlotte Motor Speedway|2024-05-26|249|7#3,1,90,30;30,2,1,27;2,3,49,24;8,4,0,10;11,5,0,9;1,6,74,8;5,7,2,4;7,8,10,4;6,9,0,7;13,10,7,1;12,11,0,6;4,12,8,3;10,13,0,3;28,14,0,0;15,15,0,1;9,16,6,8;35,17,0,2;24,18,0,1;34,19,0,0;17,20,0,0;20,21,0,7;22,22,0,4;39,23,0,15;14,24,0,3;18,25,0,0;31,26,0,0;27,27,0,0;36,28,2,5;29,29,0,0;26,30,0,0;23,31,0,1;32,32,0,4;25,33,0,0;33,34,0,0;21,35,0,4;38,36,0,0;37,37,0,0;19,38,0,1;16,39,0,1;40,40,0,1
52|2024|Gateway|2024-06-02|240|5#2,1,53,16;6,2,0,10;7,3,17,12;5,4,0,5;12,5,1,1;18,6,0,8;4,7,80,74;20,8,0,1;21,9,0,0;13,10,7,5;9,11,0,6;16,12,0,0;17,13,0,0;26,14,0,9;11,15,0,0;35,16,6,0;23,17,0,0;28,18,0,0;36,19,0,0;24,20,0,1;8,21,0,1;27,22,0,0;31,23,0,3;3,24,20,20;1,25,40,10;22,26,0,2;33,27,0,0;14,28,0,0;32,29,0,1;25,30,0,0;30,31,0,0;15,32,0,0;34,33,0,0;19,34,1,13;10,35,15,3;29,36,0,1
56|2024|Nashville Superspeedway|2024-06-30|331|15#26,1,9,11;36,2,0,0;6,3,16,21;22,4,0,0;9,5,0,4;18,6,26,26;24,7,0,1;4,8,0,16;37,9,0,2;16,10,0,5;28,11,1,1;1,12,70,42;33,13,0,0;12,14,0,2;10,15,0,1;15,16,0,1;32,17,0,0;13,18,0,0;7,19,0,0;21,20,0,0;19,21,0,0;31,22,0,0;8,23,2,13;17,24,0,18;5,25,0,7;2,26,0,1;27,27,0,5;25,28,0,0;29,29,0,0;23,30,0,1;35,31,0,0;11,32,0,0;20,33,45,11;34,34,0,0;14,35,31,1;3,36,131,45;30,37,0,0;38,38,0,0
58|2024|Pocono Raceway|2024-07-14|160|8#8,1,44,22;4,2,31,17;6,3,0,3;2,4,0,0;10,5,3,0;7,6,0,0;14,7,20,20;3,8,14,5;11,9,0,7;29,10,0,0;18,11,19,12;13,12,0,0;12,13,0,0;23,14,0,0;28,15,0,0;16,16,0,0;15,17,0,0;20,18,0,4;30,19,0,0;5,20,8,13;26,21,0,0;34,22,0,0;17,23,0,0;21,24,0,0;27,25,0,0;35,26,0,0;1,27,21,12;32,28,0,0;9,29,0,2;36,30,0,0;22,31,0,0;24,32,0,0;31,33,0,0;33,34,0,0;37,35,0,0;19,36,0,0;25,37,0,0
